Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	4029.60323479736	2696.82724499763	1956.1001578479	3549.69347837985	10809.5810892234	5139.79796330323	241.451482758341	255.075919818127	214.948360802735	215.596862574105	154.172305752969	129.984235896322	126.401378831545	113.395094612521	85.9926193964168	87.3479394663131	70.3976453048842	60.4452190023376	47.5399992347891	47.6673130535703	37.9262384762884	51.4186784123091	40.6939065063069	42.3200831767896	38.8479278844839	41.9221690704817	39.707061314751	33.1128393294408	28.9581021328563	33.4388675023872	33.1329651639311	24.3577432110734	35.3268956982166	24.4289609780148	20.8244829773493	27.1866096579021	19.964451219901	15.1301017225179	22.9351189914086	22.9129487330155	17.1554915293126	20.7510085096711	16.4803978007474	21.2386565618053	17.249775453372	24.0459084081544	24.8149804214955	20.2485776467799	13.9503067454961	10.4454126805808	12.5541057189042	16.4438325808377	21.2575882559576
242	3428.49337322274	3274.44682710608	2558.35271176534	1900.46309061858	11321.4566970239	11034.9166321779	1208.95830740052	255.221066650114	214.772583193625	187.25255630926	163.438258898312	133.63538916863	129.60435092642	110.697375110479	67.8503519536044	87.3406160763727	58.1324777334648	79.4861410047034	53.2931608585979	64.8718915627946	39.1379279932388	50.2155927615659	44.9382566272328	33.2740073315085	35.0634473362702	34.8159332019956	32.9749283422668	39.5673333914594	35.9895923901469	25.1071417847323	32.4124207277971	22.9532774563631	31.1729576999968	23.7060154383353	25.3839868402276	21.0252280615908	28.7071922855408	18.2709806896244	19.8600977268114	21.0524279137117	22.0682133380656	18.8896828815559	22.8560790135034	21.2505776204272	19.726198155286	25.8590630764509	15.8191590268778	21.4075171546687	19.87970492923	14.7221584010225	20.7911304554553	16.4312336742257	19.4861351021275
244	3023.54758998229	3271.73338885788	2111.62963910996	1566.45729402533	6611.0988404447	17668.1115366605	5698.7920820308	285.506902323148	281.727236945099	170.042506237811	222.22283793082	159.620311644293	148.08348140104	123.803785338555	95.0031963805426	105.330091187092	88.1950621459236	92.0928506685665	79.2355608353787	52.9094182622988	53.8186623325115	55.8792475287726	43.9295379939898	40.319830665337	32.2451956856723	34.8442440377876	31.2228318785403	35.5134635504172	36.8320543597547	26.6351940918191	27.2917896009492	30.7784178784246	22.1692411635162	17.6131649108261	24.0941454484946	13.5946939113299	16.2093543500267	25.2583579113773	18.6231007140323	23.5433322833334	18.4204703289715	20.8014771503045	19.681647553169	16.2359788525658	15.4431388122935	19.7141114076013	20.2954194117088	16.7680756166884	17.1981207371087	12.3696251220228	14.9842015600347	15.2628215227582	13.5812722491091
246	1210.45354299794	3851.98870910648	4066.56430826162	1650.58957629982	3659.69052883094	19534.0144820303	15448.5673851749	1225.56284739077	289.262591481942	243.831992629159	185.767289654161	144.719749881231	98.6711069486315	105.392158271642	99.677725163113	85.5097759904863	68.7059668417511	80.9998316477439	66.1971915019956	50.2896670046451	58.7464829033586	51.3602759685018	37.4930868021582	52.3871923339078	31.3069263100753	41.0518391238459	47.2990874390805	40.4017830818605	42.3071044298886	25.0846308839308	32.4372458982443	22.9006949061935	26.3374906356878	18.2976993156002	23.4437083437699	23.4877782104848	15.6032395601819	22.6815100090438	20.4767856380286	23.5547815676351	19.6274154582185	22.6566931740976	21.5710447469488	13.7402916124905	14.1827167520987	20.9917886484764	18.0750377075559	20.2179927063142	23.0731026879625	13.7891875046174	16.8881201053651	12.3364400584483	11.2281760872437
248	1815.39152536252	1924.42756635184	4365.48063188505	2974.20927566883	1675.58780798666	15156.1316155269	25095.4209523214	4802.71129361015	259.256884504546	215.687604656391	126.946368647438	155.832724204	111.140551318205	108.20537801782	99.6816699959373	105.241777355507	65.1509352844548	71.5431704282819	66.2125718466329	59.6198298721852	44.0226723750636	45.6429193182208	47.0872213071127	49.3459928269116	36.9744850385161	26.7906612189335	37.9834975978416	37.1170946643457	25.0345440398945	30.4489888772088	31.6625658719295	33.6067887693662	20.0820589408122	27.1489260392018	16.923759663422	22.2870245343487	21.2162224991734	25.2210988688356	18.6153359750804	16.1100833399274	23.9157828517235	16.9863584606752	25.9766717837097	19.3698102092675	15.4302947626236	21.5658675090917	22.583251440301	17.3337815748359	18.7870349111932	18.0504571840241	13.5088129527746	21.1277817143318	21.8417077783962
250	4835.9986434663	4233.37655157947	3764.79876462482	3134.55878389242	1146.50239851355	8155.35883726683	30170.5468528682	12843.4537304144	533.744811754975	175.832489229167	135.979589562908	170.647458829211	132.73971257896	121.284751058236	101.771589894122	87.3652017212679	68.639479937151	60.3140122552859	70.6289086341102	56.9326569632555	45.2138510837654	57.0791003499084	37.4675774101508	46.371538126149	31.3171543435698	36.598923990274	33.7555609031836	20.9743857572842	24.2323632215839	28.1467795540764	20.609745651993	26.4924984166712	22.1715023253497	26.4598555880123	18.2422250015315	21.6452059267812	18.6886590966287	23.9704952967714	17.3758450256843	21.6642233944336	25.1311758727852	20.144243827944	18.3996340971813	21.2313485670411	16.6633325775968	14.176176262428	20.3011668403464	17.9303602129581	18.7887056470844	14.2373954023194	18.8298216112622	17.6314741993772	11.8157333325608
252	2621.29847434075	3269.80769543033	6175.65170721029	3468.03171605176	1145.99879222551	3200.85689371683	27687.0116836556	27064.975007871	3055.55035279834	272.189053857331	154.195623830475	163.164481007477	157.298145646839	107.992164274964	124.343676950841	103.291980320442	88.1816332044105	58.8044438329694	70.4822827901577	56.925919362445	50.1125762529492	42.2091633727855	37.4822541314819	42.3414792433392	45.4747998528939	32.1112566496978	32.9215116744336	33.8781235997846	28.9471638931348	20.5577415107076	27.2594232042911	30.7939390010121	35.3513957319347	30.4911493204279	18.241358311681	15.4547125914007	23.6903971992869	20.8129479568036	17.9989343779786	21.0611545019395	22.0926289653405	18.2808569242157	20.9769967398614	25.6021099649752	24.0542135347597	19.1049880060997	14.6756321368977	16.7786140398395	17.7146277787095	14.2507109384761	15.4729854143079	19.9709506348723	21.8490241012763
254	4637.94352215775	5582.81798739816	4069.57311571654	7516.04830277614	2861.9610658966	1140.21726624457	17888.3317693306	39889.1619862867	11059.0545434623	368.425034682891	172.454339086439	141.053164980887	169.681178037418	142.250906877717	108.6340408084	93.505694853863	86.3731494735954	85.7902959610162	57.6288562901406	63.5811738463106	28.1241163291527	51.2909852091187	40.733432797108	38.3095311970442	36.0248434918755	33.8989390030248	33.7703407679379	31.4648547148427	35.2757569037704	28.1605584294714	25.7955542249355	27.9266067310448	20.7695070123041	25.7436250363863	18.2153920403114	14.8417293610923	23.0831666942999	20.8073191703007	21.6943725684909	20.4885940341461	23.3412365780388	21.4173159840354	27.9137126806114	21.2580028067972	15.4169078189785	21.5638399734342	21.4391464969896	17.3412669152074	15.5801915689828	16.6444361936053	16.4236398136854	19.972307751114	18.8849531779334
